entry,subentry,fstHits.mXYZ.fX,fstHits.mXYZ.fY,fstHits.mXYZ.fZ,reco.mQATruth,reco.mIdTruth,reco.mChi2
35,0,-6.6252121925354,-6.544403553009033,165.2620849609375,1,3,1.8320539
35,1,-23.66129493713379,-1.1138982772827148,153.1590576171875,1,4,3.7097836e-17
36,0,0.6440872550010681,6.405197620391846,178.7950439453125,1,2,1.8415655
36,1,-8.393811225891113,4.033185958862305,165.2620849609375,1,3,1.8417424
36,2,-12.500839233398438,12.86401653289795,153.1590576171875,1,4,1.8325251
36,3,-14.5044584274292,14.9258451461792,180.1900634765625,1,5,1.8320506
37,0,0.6702830195426941,6.4025092124938965,151.7640380859375,1,1,7.875638e-16
37,1,0.7226403951644897,6.396811485290527,178.7950439453125,1,2,6.7459864e-06
38,0,-7.925254821777344,19.24449348449707,166.6571044921875,1,1,1.8357968
38,1,7.359812259674072,-9.714335441589355,151.7640380859375,1,4,1.8399719
39,0,-8.917016983032227,2.6850435733795166,165.2620849609375,1,1,1.8415864
39,1,-20.157365798950195,5.180805683135986,166.6571044921875,1,2,1.8415644
39,2,-14.50862979888916,-4.047043800354004,151.7640380859375,1,5,1.8415847
39,3,-14.767037391662598,-2.968757390975952,151.7640380859375,1,7,1.8415655
40,0,5.847273826599121,2.69273042678833,178.7950439453125,1,2,1.1966529e-14
40,1,6.4336090087890625,0.22378826141357422,178.7950439453125,1,3,1.8415639
